主題,類別,標題,關鍵句,情緒分數,分類結果,URL,來源,日期
3,財經,永慶房屋以 AI 領航房產科技發展，「i 特助」榮獲國際大獎肯定,永慶房產集團資訊部協理呂學堯分享，永慶房屋的「 i 特助」整合了四大創新特色，分別是：「 AI 驅動的找房服務」、「人機一體的房地產諮詢」、「多人決策的同步參與」以及「客戶服務的自動化」,2,正面,https://finance.technews.tw/2024/10/24/buyyungchingaihouse/,TECHNEWS,2024-10-24
3,財經,軟銀投資 OpenAI 押注 AGI 前景，孫正義讚揚 o1 模型推理能力,「生成式 AI 需要的參數相當於人類大腦的突觸，正以驚人的速度成長」，他還認為深化 AI 推理能力，需要更多採用 Arm 技術的晶片,1,正面,https://finance.technews.tw/2024/10/03/masayoshi-son-at-softbank-world-2024/,TECHNEWS,2024-10-03
5,財經,可成策略轉型再下一城！子公司可力生醫取得 CDMO 營業資產,可成科技指出，過去憑藉其材料科學、精密製造加工等核心優勢，已在消費電子領域獲得諸多國際品牌青睞，2020 年起展開策略轉型，看好智慧醫療發展，積極切入高階醫材領域，這次交易完成後，可成將取得植入式神經調節裝置研發資源、技術製程、專利認證，以及既有客戶等資產,7,正面,https://finance.technews.tw/2024/10/26/organization/,TECHNEWS,2024-10-26
5,財經,巧新成立子公司擴大應用範疇！建置 6 萬噸再生鋁棒產能規模,從客戶新產品詢價項目來看，對使用低碳綠鋁或再生鋁的要求逐步增加，以對 RESAICAL 認證車廠客戶的預視單量來估算，再生鋁料的使用率將可望如計畫在 2025 年達到 50％，因此巧新藉由增加產能規模，滿足更多不同產業對再生鋁料的需求，成為產業實現碳中和目標中的重要選擇,4,正面,https://finance.technews.tw/2024/10/02/smelting-plant/,TECHNEWS,2024-10-02
5,財經,Amkor 與台積電擴大夥伴關係，合作亞利桑那州廠先進封裝,根據此項協議，台積電將採用 Amkor 計劃在亞利桑那州皮奧里亞市興建之新廠所提供的一站式 (Turnkey) 先進封裝與測試服務支援其客戶，特別是透過台積電在鳳凰城之先進晶圓製造廠生產晶片的客戶,2,正面,https://finance.technews.tw/2024/10/04/amkor-expands-partnership-with-tsmc/,TECHNEWS,2024-10-04
5,財經,跟著台積電擴大日本服務網絡！玉山熊本出張所開業,"熊本縣知事木村敬表示，自
進駐日本以來，吸引半導體產業至熊本設廠，並帶動維修保養、物流倉儲等相關產業發展，玉山是台灣中小企業金融的首選銀行，期待玉山能成為台資企業進駐九州的最佳助力，並持續促進台灣與熊本各方面的交流",5,正面,https://finance.technews.tw/2024/10/26/japan-service-network/,TECHNEWS,2024-10-26
5,財經,HIVEX 攜三大支付前進日本滿週年！下一站與 ZeroPay、ICB 進軍韓國,吳陵宣布，HIVEX 看好台灣旅客在韓國的消費潛力，預計將攜手 ZeroPay 和 ICB 正式進軍韓國，開通上百萬家韓國商店，為哈韓族及商務旅客提供更便捷且安全的跨境支付服務，為台灣旅客在韓國的消費帶來更加輕鬆、安全的支付體驗,3,正面,https://finance.technews.tw/2024/10/15/zeropay/,TECHNEWS,2024-10-15
6,財經,加上記憶體也不行！三星第三季恐讓出半導體營收龍頭寶座給台積電,台積電營收從 2022 年第三季就領先三星 DS 部門,1,正面,https://finance.technews.tw/2024/10/21/samsung-may-lose-its-semiconductor-revenue-leadership-to-tsmc-in-the-third-quarter/,TECHNEWS,2024-10-21
6,財經,台積電 9 月營收創今年次高，第三季營收優於財測創歷史新高,"晶圓代工龍頭台積電公布 2024 年 9 月營收報告，合併營收約為新台幣 2,518.73 億元，較 8 月增加 0.4%，較 2023 年同期增加 39.6%，創 2024 年單月次高紀錄",2,正面,https://finance.technews.tw/2024/10/09/tsmcs-september-revenue-hits-second-highest-this-year/,TECHNEWS,2024-10-09
6,財經,日月光投控第三季 EPS 2.24 元創兩年新高，前三季賺逾半個股本,電子代工營收為 753.84 億元，較第二季成長 16.6%，較2024 年年同期成長 6%,2,正面,https://finance.technews.tw/2024/10/31/ase-investment-holdings-third-quarter-eps-of-2-24-yuan-hit-a-two-year-high/,TECHNEWS,2024-10-31
6,財經,南亞科 9 月營收月減 7.76%，10 月 9 日召開第三季法說會公布財報,當 AI 帶動 HBM / DDR5 需求強勁情況下，傳統 DRAM 產品的供應將受到影響而減少，但因為因消費者需求的長期復甦和競爭，將導致獲利動能減弱的南亞科,-3,負面,https://finance.technews.tw/2024/10/04/nanyas-september-revenue-fell-7-76-month-on-month/,TECHNEWS,2024-10-04
6,財經,南亞科第三季營收季減 18%，調降資本支出至 200 億元因應設備交期變化,總經理李培瑛表示，2024 年第三季在整體市況方面，AI 應用的需求仍熱絡，一般 PC、手機及消費型電子產品終端需求不如預期,-1,負面,https://finance.technews.tw/2024/10/09/nanyas-third-quarter-revenue-fell-18-quarter-on-quarter/,TECHNEWS,2024-10-09
7,財經,中國谷底翻身，市場憂 2015 年股災重演,"9 月底中國政府宣布一系列刺激經濟措施後，中國股市突然起死回生，中國人紛紛湧入市場，但這場股市暴衝讓人回想
年中國股災",-2,負面,https://finance.technews.tw/2024/10/09/china-stock-future/,TECHNEWS,2024-10-09
7,財經,巴菲特加碼日股？第九度發日圓債，規模史上第二大,巴菲特掌管的波克夏海瑟威（Berkshire Hathaway）第九度發行日圓債、發債規模為史上第二大，除了日本五大商社（三菱商事、三井物產、伊藤忠商事、住友商事、丸紅），銀行股、海運股也期待成為巴菲特投資標的,2,正面,https://finance.technews.tw/2024/10/11/berkshire-hathaway-euroyen-bond-ninth/,TECHNEWS,2024-10-11
7,財經,逃命或接刀？中國股市復市爆量飆漲逾 10%，回神後腿軟陷震盪,"中國
數據顯示，在市場對中國政府持續祭出振興經濟措施的憧憬下，中國股市8日長假後恢復交易首日，果不其然開盤後隨即上演瘋牛行情，滬指開盤大漲逾10%報3,674點，深證成指漲12.67%，來到11,864點，創業板更狂漲18.44%，上漲至2,576點",1,正面,https://finance.technews.tw/2024/10/09/chinas-stock-market-is-at-risk-of-overheating/,TECHNEWS,2024-10-09
7,財經,巴菲特加碼投資日本？傳擬再發日圓債，商社股衝,巴菲特掌管的波克夏海瑟威（Berkshire Hathaway）傳出計劃今年來第二度發行日圓債，已獲巴菲特投資的日本五大商社（三菱商事、三井物產、住友商事、丸紅、伊藤忠商事）股價聞訊大漲,0,中性,https://finance.technews.tw/2024/10/01/buffett-issues-japanese-yen-bonds-for-second-time-this-year/,TECHNEWS,2024-10-01
7,財經,沙國主權基金減持任天堂股票，持股比重跌破 8%,根據任天堂6月28日公布的有價證券報告書顯示，PIF對任天堂的持股比重為8.58%,0,中性,https://finance.technews.tw/2024/10/09/pif-nintendo-stock/,TECHNEWS,2024-10-09
8,財經,輝達等 AI 股領軍勁揚，標普、台積 ADR 史高,受到投資人尋找軟著陸線索、在一系列經濟數據及財報出爐前搶進科技股的帶動，道瓊工業平均指數、標準普爾 500 指數再創歷史收盤新高,0,中性,https://finance.technews.tw/2024/10/15/nvidia-sp-500-usa-stock-market/,TECHNEWS,2024-10-15
8,財經,通用汽車財報出色、上修財測，股價飆一成,財測方面，通用預估2024全年經調整EBIT（息稅前獲利）介於140億美元至150億美元之間，相當於每股10~10.5美元，從原估的9.50~10.50美元上修，主因定價能力和消費支出強勁,3,正面,https://finance.technews.tw/2024/10/23/gm-releases-2024-third-quarter-results-and-updates-full-year-guidance/,TECHNEWS,2024-10-23
8,財經,賣掉輝達「大錯特錯」，索羅斯戰友：我還在療傷,"」
Druckenmiller的說法並未反映輝達6月生效的1拆10股票分割案",0,中性,https://finance.technews.tw/2024/10/18/stanley-druckenmiller-says-hes-licking-my-wounds-from-selling-nvidia-too-soon/,TECHNEWS,2024-10-18
8,財經,Affirm 獲分析師青睞，受惠降息、蘋果合作關係,"美國知名財經網站霸榮
，富國銀行分析師Andrew Bauch領導的團隊將Affirm的投資評等上修至「加碼」，並將目標價由40美元上調至52美元，主要看好Affirm和蘋果的支付合作夥伴關係，加上聯準會（Fed）上月降息2碼，可望降低Affirm的資金成本、促進成長",1,正面,https://finance.technews.tw/2024/10/14/affirm-wins-it-is-third-upgrade-this-week/,TECHNEWS,2024-10-14
8,財經,Meta 股價攻高，祖克柏擠下貝佐斯登全球第二富豪,"等外媒報導，祖克柏名下持有Meta 13%持股，根據彭博億萬富翁指數（Bloomberg Billionaires Index），隨著股價再攻新高，祖克柏目前身價達2,060億美元，一舉超越貝佐斯的2,050億美元，晉升全球第二大富豪，不過距離全球首富特斯拉執行長馬斯克（Elon Musk）淨資產2,560億美元，還差了500億美元",0,中性,https://finance.technews.tw/2024/10/04/mark-zuckerberg-is-now-worlds-second-richest-person/,TECHNEWS,2024-10-04
9,財經,辛巴威金圓券發行五個月之後又不行了,（來源：達志影像）,0,中性,https://finance.technews.tw/2024/10/04/zimbabwes-new-currency-faces-headwinds-five-months-on/,TECHNEWS,2024-10-04
9,財經,又有一家踏入混合實境領域，vivo 預告 MR 裝置 2025 年亮相,針對 vivo 影像技術未來三大發展方向，李卓進一步解釋，隨著不斷地影像發展，做為行動影像的生產端，保護使用者影像資料、防止影像資訊濫用，以及避免不實資訊的傳播，該公司將會不斷強化影像安全系統，透過創新的照片與影片的真實性標記，以及安全應用服務，建立透明、可信的內容創作,5,正面,https://finance.technews.tw/2024/10/15/vivo-mr/,TECHNEWS,2024-10-15
9,財經,泓德推出電力交易預測解決方案！星舟快充公開「智慧開電系統」,"2024 台灣國際智慧能源週（Energy Taiwan）受到山陀兒颱風影響延後展期，
今年首度展出「電力交易預測解決方案」，並在現場透過示意畫面了解「智慧電力交易平台」如何應用到日本市場，未來將運用到台、澳、菲其他電力自由化的交易市場",3,正面,https://finance.technews.tw/2024/10/03/power-trading-forecast/,TECHNEWS,2024-10-03
9,財經,宏達電 9 月營收月增逾 65%，創今年單月次高紀錄,另外、宏達電旗下致力於為觀眾帶來非凡的娛樂體驗的 VIVE ORIGINALS 娛樂平台 BEATDAY，宣布推出全球首創六自由度 6DoF 開放式平台，提供一站式商務服務，專為全球 VTuber 玩家打造全新娛樂體驗,4,正面,https://finance.technews.tw/2024/10/04/htcs-september-revenue-increased-by-more-than-65-month-on-month/,TECHNEWS,2024-10-04
9,財經,鴻海科技日新級距電動車亮相，MODEL D、MODEL U 登場,而在今日的科技日活動中，鴻海則是推出了專為狹窄城市巷道及偏遠地區而設計的中型電動巴士 MODEL U，其是專為狹窄城市巷道及偏遠地區而設計的「中型電動巴士」，設計概念強調靈活性和多功能性，車身尺寸適中，內部空間可以根據需求進行配置,-1,負面,https://finance.technews.tw/2024/10/08/hhtd24-model-d-model-u/,TECHNEWS,2024-10-08
10,財經,曾稱為核心業務之一！英特爾傳將出售 Altera 少數股權換現金,Altera 年初開始獨立營運，預計 2025 年 1 月 1 日前完成分離，而英特爾執行長基辛格 (Pat Gelsinger) 上個月才表示，Altera 的業務是英特爾未來重要的核心之一，現在傳將出售 Altera 部分股權換現金，意味著英特爾經營策略有所改變,3,正面,https://finance.technews.tw/2024/10/19/altera/,TECHNEWS,2024-10-19
10,財經,挪威能源巨頭 Equinor 擴大投入再生能源，入股沃旭,挪威國營能源巨頭 Equinor 宣布收購丹麥再生能源大廠沃旭能源（Orsted）股份，做為擴大投資再生能源的策略之一,0,中性,https://finance.technews.tw/2024/10/08/equinor-buys-orsted-stake-in-renewables-push/,TECHNEWS,2024-10-08
10,財經,交通部擬調高外送費，foodpanda：今年不會比去年貴,針對勞動部反對 2 大外送平台併購案，foodpanda 總經理黃逸華表示，併購案目前還在等待公平會立案，靜候決議；而針對交通部預告修法外送平台費率，黃逸華表示，草案內容還沒有很明確，今年運費不會比去年貴，目前不受任何影響,0,中性,https://finance.technews.tw/2024/10/18/delivery-fee-foodpanda/,TECHNEWS,2024-10-18
10,財經,對金控合併案的提醒：保護股東權益才是公司治理基礎,然而，若公司在董事會上即無法就股價合理性有合理的說明，則可能無法讓所有董事同意,1,正面,https://finance.technews.tw/2024/10/01/protecting-the-rights-and-interests-of-shareholders-is-the-basis-of-corporate-governance/,TECHNEWS,2024-10-01
10,財經,第七波信用管制錯殺無辜？央行擬兩大補救措施,此外，換屋族問題也是各界關注，央行目前是比照現行換屋族簽切結書，保證一年內一定會把舊宅賣掉；而對於房仲公會日前發出九大訴求請命，爭取換屋的期限能夠從一年延長到兩年，央行目前的態度傾向不放行，最主要是因為央行認為給予換屋族一年賣房的時間已相當足夠，兩年「叫投資不叫換屋,1,正面,https://finance.technews.tw/2024/10/08/the-seventh-wave-of-credit-controls/,TECHNEWS,2024-10-08
11,財經,會成為下個制裁對象嗎？傳小米首款 3 奈米 SoC 成功設計定案,假如小米 3 奈米 Soc 設計定案，可能代表華為等中國公司可用此晶片於智慧設備，取得競爭優勢,2,正面,https://finance.technews.tw/2024/10/21/xiaomi-3nm-soc-tape-out/,TECHNEWS,2024-10-21
11,財經,奇景光電成功將 In-cell Touch TDDI 觸控顯示技術導入 AI 筆電量產,IC 設計廠商奇景光電宣布，領先業界內嵌式觸控顯示技術（In-cell Touch TDDI）HX83132 解決方案，獲多家領先面板客戶採用，搭載品牌客戶高階 LCD 顯示螢幕 AI 筆電，並領先同業第三季量產,2,正面,https://finance.technews.tw/2024/10/15/himax-successfully-introduced-in-cell-touch-tddi-touch-display-technology-into-ai-pen-power-production/,TECHNEWS,2024-10-15
12,財經,Pro 機款仍是出貨主力，郭明錤：標準版 iPhone 16 需求仍低迷,iPhone 16 Pro 的出貨量與去年的 iPhone 15 Pro 類似，不過 iPhone 16 Pro 的出貨時間比 iPhone 15 Pro 更短,0,中性,https://finance.technews.tw/2024/10/10/iphone-16-series-shipment-2/,TECHNEWS,2024-10-10
12,財經,蘋果未全解鎖 Apple Intelligence，摩根大通：iPhone 16 未引爆商機,外資摩根大通（JP Morgan）在最新研究報告中，在蘋果人工智慧應用 Apple Intelligence 尚未解鎖完整功能的情況下，9 月初最新發表的 iPhone 16 系列智慧型手機並未引爆採購商機,0,中性,https://finance.technews.tw/2024/10/03/jpmorgan-chase-iphone-16-has-not-ignited-business-opportunities/,TECHNEWS,2024-10-03
12,財經,iPhone 16 減單 300 萬？巴克萊：蘋果砍台半導體夥伴訂單,以 Apple Intelligence 為最大賣點的 iPhone 16 系列需求似乎不如預期，據巴克萊分析師最新的報告顯示，蘋果可能減產 300 萬支 iPhone 16,-1,負面,https://finance.technews.tw/2024/10/02/iphone-16-cuts/,TECHNEWS,2024-10-02
12,財經,彭博：蘋果認為 AI 開發至少落後兩年,即便蘋果 AI 策略一環是與 OpenAI 合作，讓 Siri 可與 ChatGPT 串連使用，但實際上 Apple Intelligence 主要還是依賴裝置端運行的模型，但這也意味著 Apple Intelligence 對於裝置規格要求相當高，用戶需要使用至少 A17 或 M1 晶片組的裝置才能獲得 Apple Intelligence 功能，且裝置必須至少有 8GB RAM,2,正面,https://finance.technews.tw/2024/10/21/apple-intelligence-development-progress/,TECHNEWS,2024-10-21
12,財經,"AI 也救不了？郭明錤：Q424 至 H125 iPhone 16 訂單砍 1,000 萬支","蘋果希望透過 Apple Intelligence 拉抬 iPhone 16 系列機款出貨量，只是據天風國際分析師郭明錤最新的調查顯示，iPhone 16 訂單在 2024 年 4 季至 2025 上半年這段期間減少了約 1,000 萬支，其中大部分的砍單都落在非 Pro 機款，iPhone 16 2H24 產量目前估計為 8,400 萬部（低於先前的約 8,800 萬部）",0,中性,https://finance.technews.tw/2024/10/24/q424-1h25-iphone-16/,TECHNEWS,2024-10-24
0,國際,國家有辦法讓人們多生孩子嗎,去年，日本的生育率為1.2,0,中性,https://cn.nytimes.com/world/20241017/birth-rate-fertility-policy-japan/zh-hant/,NYT,2024-10-17
0,國際,中國研究生大躍進，「本研倒掛」瞄向解決就業還是高等教育升級,"」
學校需要更多研究生
丁智善還提出，由於中國人口結構性問題，高校的本科生招生人數是「增無可增」",-1,負面,https://www.bbc.com/zhongwen/trad/chinese-news-69417409,BBC,2024-10-16
0,國際,特朗普對進口產品加徵關稅，美國消費者到底受益還是受傷——事實核查,而對這些進口商品徵收的關稅在該年度帶來800億美元收入，約佔美國總稅收的2%,-1,負面,https://www.bbc.com/zhongwen/trad/business-69414958,BBC,2024-10-17
0,國際,BBC專訪神田真人：斥資1700億美元提振日元的幕後推手,為了控制日元的跌勢，神田先生動用了約25萬億日元（1730億美元）來支撐貨幣，這是日本近四分之一個世紀以來首次進行此類干預,1,正面,https://www.bbc.com/zhongwen/trad/business-69389927,BBC,2024-10-04
0,國際,颶風米爾頓襲美國：今年風暴為何如此猛烈？,氣候變化對颶風有什麼影響,0,中性,https://www.bbc.com/zhongwen/trad/science-69403624,BBC,2024-10-09
2,國際,金磚峰會在俄羅斯喀山拉開帷幕：值得關注的五個要點,"擴容後第一場峰會
2009年巴西、俄羅斯、印度和中國（首字母縮寫BRIC）舉行金磚集團第一次峰會；第二年在中國促成下，南非加入，「金磚五國」（BRICS）正式成立",3,正面,https://www.bbc.com/zhongwen/trad/world-69434238,BBC,2024-10-22
2,國際,英國新外相拉米首次訪華 重啟中英關係面臨諸多複雜問題,"華為：與英國大學合作研究背後的考量
英國政壇變天過後  英美同盟陰影下的中英關係
英國政府要求中企從威爾士晶圓廠撤資  引發員工異議 
蘇納克為何說中英關係「黃金時代」已經結束
你的器材不支持播放多媒體材料
不過，英國貿易大臣雷諾茲在本周強調，唐寧街不會跟隨歐盟（EU）對中國電動汽車徵收高額關稅，並批評過去保守黨政府對中國的接觸過少，工黨將更積極與中國互動;同時，反對黨人士也指出，工黨政府因忌憚中國反彈，要求正在歐洲訪問的台灣前總統蔡英文延遲甚至取消訪英之行，並稱英國政府屈服於北京的壓力",-11,負面,https://www.bbc.com/zhongwen/trad/world-69424954,BBC,2024-10-18
2,國際,為何格魯吉亞人投票支持親俄政黨抛棄加入歐盟的夢想？,中央選舉委員會公佈的官方初步結果顯示，執政的格魯吉亞夢想黨（Georgian Dream party）獲得絕對多數，但反對黨聲稱選舉被竊取，並呼籲其支持者週一晚在首都第比利斯參加抗議活動,0,中性,https://www.bbc.com/zhongwen/articles/cdxyzkq3xkdo/trad,BBC,2024-10-29
2,國際,英國外交大臣訪華，恢復緩和中英關係,在訪問之前，英國政府表示，外交大臣將敦促中國減少向俄羅斯在烏克蘭的戰爭行為提供政治和經濟支持,-3,負面,https://cn.nytimes.com/asia-pacific/20241018/david-lammy-uk-china-visit/zh-hant/,NYT,2024-10-18
2,國際,當賀錦麗向川普支持者伸出橄欖枝,為了贏得選舉，賀錦麗必須激勵痛恨川普的民主黨基本盤，同時贏得獨立選民和共和黨選民的支持，這些選民更關心的是自己的錢包,1,正面,https://cn.nytimes.com/usa/20241031/kamala-harris-trump-voters/zh-hant/,NYT,2024-10-31
4,國際,以色列有哪些飛彈防禦系統：「鐵穹」、「大衛投石索」和「箭」式,"以色列有哪些飛彈防禦系統：「鐵穹」、「大衛投石索」和「箭」式
2024年10月3日
近月以色列動用了所有飛彈防禦系統，來應對加沙哈馬斯、黎巴嫩真主黨和也門胡塞武裝的飛彈襲擊",-2,負面,https://www.bbc.com/zhongwen/trad/world-69387422,BBC,2024-10-03
4,國際,烏克蘭戰爭：朝鮮士兵是否在為俄羅斯作戰？,烏克蘭戰爭：朝鮮士兵是否在為俄羅斯作戰,-2,負面,https://www.bbc.com/zhongwen/trad/world-69417061,BBC,2024-10-15
4,國際,朝鮮從烏克蘭戰爭中得到了什麼,70年前，通過提供武器和飛行員，莫斯科幫助朝鮮打了朝鮮戰爭,1,正面,https://cn.nytimes.com/asia-pacific/20241017/north-korea-ukraine-russia/zh-hant/,NYT,2024-10-17
4,國際,反抗父權和厭女文化：諾獎作家韓江與「韓女文學」,韓國文學界和旅居海外的韓國人希望，正如電影和電視劇讓韓國故事在影視界大受歡迎一樣，韓江的諾貝爾獎能把人們的注意力吸引到韓國的書籍上,3,正面,https://cn.nytimes.com/culture/20241016/han-kang-nobel-south-korea/zh-hant/,NYT,2024-10-16
4,國際,韓江獲諾貝爾文學獎 代表作《素食者》探討女性、父權與暴力,"韓江獲諾貝爾文學獎 代表作《素食者》探討女性、父權與暴力
2024年10月11日
韓江獲頒諾貝爾文學獎，是首位獲頒該獎項的韓國作家和亞洲女性作家",0,中性,https://www.bbc.com/zhongwen/trad/world-69408483,BBC,2024-10-11
9,國際,華為「純血」鴻蒙面世 脫鉤安卓對標蘋果如何謀求三分天下,"」
有分析稱，以軟體開發市場來說，如果都只在原有的安卓、蘋果iOS系統上進行研發，即便軟體技術研發屢次有所突破，也很難完善中國自主可控的行動作業系統",3,正面,https://www.bbc.com/zhongwen/trad/business-69438203,BBC,2024-10-24
0,科技,低收入者支出晴雨表，麥當勞銷售額連兩季衰退,但去年形勢開始轉變，食品通膨最終仍然改變消費習慣，且趨勢已定，麥當勞全球銷售額連續第二季下降，美國之外的市場下降最多,-1,負面,https://finance.technews.tw/2024/10/30/low-income-consumer-give-up-madonald/,TECHNEWS,2024-10-30
0,科技,加州最低工資大漲沒有副作用，調查：反而對企業有利,"但加州大學柏克萊分校勞工與就業研究所研究，新法生效後，非管理職速食業勞工平均工資提高近
，雖然與之前最低工資政策相比，增幅非常大，許多人都加薪，但並沒有對就業產生不利影響",2,正面,https://finance.technews.tw/2024/10/15/the-wage-raise-have-no-impact-on-employment-and-price/,TECHNEWS,2024-10-15
0,科技,Siegel：貨幣供給成長突破 5%，美有望躲過硬著陸,貨幣成長加快令人安心，暗示美國經濟有機會避免硬著陸,2,正面,https://finance.technews.tw/2024/10/01/us-economy-is-expected-to-escape-a-hard-landing/,TECHNEWS,2024-10-01
0,科技,軟著陸有望？鮑爾：不急著快速降息、就業將穩,芝加哥商業交易所（CME）FedWatch工具顯示，聯邦基金期貨投資人30日預測，Fed 11月7日降息一碼至4.50~4.75%的機率從一個交易日前（9月27日）的46.7%跳升至65.4%，降息兩碼至4.25~4.50%的機率則從53.3%驟降至34.6%,0,中性,https://finance.technews.tw/2024/10/01/powell-indicates-further-smaller-rate-cuts/,TECHNEWS,2024-10-01
0,科技,不能彈性就加薪，美國辦公室工作者薪資大漲四成,"調查也發現，超過
倫敦員工，每週進辦公室的時間只略高於半週，認為在家工作的好處是減少通勤費用，高於所有受調查城市的平均比例",-2,負面,https://technews.tw/2024/10/01/remote-work-scarifies-salary/,TECHNEWS,2024-10-01
1,科技,馬斯克預言：世界到2040年將有100億台人形機器人,美國電動車大廠特斯拉（Tesla）執行長馬斯克（Elon Musk）今天在沙烏地阿拉伯一場活動上預言，這世界到2040年至少會有100億台人形機器人,0,中性,https://www.cna.com.tw/news/ait/202410300002.aspx,CNA,2024-10-30
1,科技,馬斯克預言：世界到 2040 年將有 100 億台人形機器人,美國電動車大廠特斯拉（Tesla）執行長馬斯克（Elon Musk）29 日在沙烏地阿拉伯一場活動上預言，這世界到 2040 年至少會有 100 億台人形機器人,0,中性,https://technews.tw/2024/10/30/elon-musk-10-billion-humanoid-robots-by-2040-at-20k-25k-each/,TECHNEWS,2024-10-30
1,科技,特斯拉明年推自駕計程車服務 須克服監管與技術挑戰,監管州內自動駕駛車輛測試與部署的加州車輛管理局（California Department of Motor Vehicles）告訴路透社，特斯拉上次使用該局核發的自動駕駛車測試許可證是在2019年，使用這項許可的每輛自動駕駛車都需要搭配一名人類駕駛員,4,正面,https://www.cna.com.tw/news/ait/202410240351.aspx,CNA,2024-10-24
